epoch,train_loss,bleu,rouge_l,lr,best_bleu,best_rouge_l
1,5.28047145220388,0.023264418649508557,0.12258912644261974,0.001,0.023264418649508557,0.12258912644261974
2,4.298947638249492,0.02504842412074534,0.12503119989674374,0.001,0.02504842412074534,0.12503119989674374
3,4.0284091554789905,0.026464106952449228,0.12863451299520706,0.001,0.026464106952449228,0.12863451299520706
4,3.883565884187402,0.02784948491274309,0.1328244282502976,0.001,0.02784948491274309,0.1328244282502976
5,3.787766375152238,0.028886120575409947,0.13458994871668176,0.001,0.028886120575409947,0.13458994871668176
6,3.7181615138433846,0.029217696604286844,0.13413593963609102,0.001,0.029217696604286844,0.13458994871668176
7,3.6643503096949055,0.029176618166588293,0.13542124713325618,0.001,0.029217696604286844,0.13542124713325618
8,3.621469296307203,0.02995425046882334,0.13675659989868338,0.001,0.02995425046882334,0.13675659989868338
9,3.5861869178920154,0.029421717343392034,0.1386555295115697,0.001,0.02995425046882334,0.1386555295115697
10,3.5569204992032146,0.030177785579243666,0.13737401830904233,0.001,0.030177785579243666,0.1386555295115697
11,3.5305042376081306,0.03132965893944787,0.13980726820028636,0.001,0.03132965893944787,0.13980726820028636
12,3.5082758171149933,0.030014370618686424,0.1383138105948662,0.001,0.03132965893944787,0.13980726820028636
13,3.489212980070912,0.030704190956516608,0.13842693757304078,0.001,0.03132965893944787,0.13980726820028636
14,3.470857143877037,0.03082644238869819,0.140552757098969,0.001,0.03132965893944787,0.140552757098969
15,3.455155656157262,0.03139640200739809,0.13847911539571223,0.001,0.03139640200739809,0.140552757098969
16,3.440993138518466,0.03115873834115614,0.13882685804260597,0.001,0.03139640200739809,0.140552757098969
17,3.428287786791524,0.030885933179419713,0.13876609060663803,0.001,0.03139640200739809,0.140552757098969
18,3.4166346387084263,0.0316755092086739,0.14041409654006398,0.001,0.0316755092086739,0.140552757098969
19,3.40517338552323,0.03048981587478364,0.13759503129502987,0.001,0.0316755092086739,0.140552757098969
20,3.3953411944833887,0.03129512516943207,0.13807385385372967,0.001,0.0316755092086739,0.140552757098969
